"v^n-2_i,j","v^n-2_i-1,j","v^n-2_i+1,j","v^n-2_i,j-1","v^n-2_i,j+1","v^n-1_i,j","v^n-1_i-1,j","v^n-1_i+1,j","v^n-1_i,j-1","v^n-1_i,j+1","v^n_i,j","v^n_i-1,j","v^n_i+1,j","v^n_i,j-1","v^n_i,j+1","v^n+1_i,j","v^n+1_i-1,j","v^n+1_i+1,j","v^n+1_i,j-1","v^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.65614e-06,2.29473e-05,9.87102e-08,7.37559e-07,3.54525e-06,1.06853e-04,6.61228e-04,1.18405e-05,4.95578e-05,2.25615e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.54525e-06,5.62721e-05,1.88990e-07,1.65614e-06,7.09251e-06,2.25615e-04,1.22097e-03,2.36850e-05,1.06853e-04,4.65349e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.09251e-06,1.32476e-04,3.34154e-07,3.54525e-06,1.28728e-05,4.65349e-04,1.98697e-03,4.48753e-05,2.25615e-04,9.01284e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.28728e-05,2.92408e-04,5.27949e-07,7.09251e-06,1.63678e-05,9.01284e-04,1.47702e-03,7.67949e-05,4.65349e-04,1.17075e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.27949e-07,-1.28728e-05,-2.11761e-08,-6.33994e-07,-3.34154e-07,-7.67949e-05,-9.01284e-04,-4.65140e-06,-9.49340e-05,-4.48753e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.34154e-07,-7.09251e-06,-1.47332e-08,-5.27949e-07,-1.88990e-07,-4.48753e-05,-4.65349e-04,-3.04269e-06,-7.67949e-05,-2.36850e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.88990e-07,-3.54525e-06,-9.16139e-09,-3.34154e-07,-9.87102e-08,-2.36850e-05,-2.25615e-04,-1.77564e-06,-4.48753e-05,-1.18405e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-9.87102e-08,-1.65614e-06,-5.23791e-09,-1.88990e-07,-4.86039e-08,-1.18405e-05,-1.06853e-04,-9.64209e-07,-2.36850e-05,-5.69970e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-4.86039e-08,-7.37559e-07,-2.80674e-09,-9.87102e-08,-2.28593e-08,-5.69970e-06,-4.95578e-05,-4.96922e-07,-1.18405e-05,-2.66468e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.28593e-08,-3.16889e-07,-1.42767e-09,-4.86039e-08,-1.03352e-08,-2.66468e-06,-2.25085e-05,-2.45942e-07,-5.69970e-06,-1.21235e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.03352e-08,-1.32113e-07,-6.93359e-10,-2.28593e-08,-4.44359e-09,-1.21235e-06,-9.98699e-06,-1.17397e-07,-2.66468e-06,-5.28440e-07
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-4.44359e-09,-5.29596e-08,-3.17230e-10,-1.03352e-08,-1.62904e-09,-5.28440e-07,-4.25678e-06,-5.32230e-08,-1.21235e-06,-1.96526e-07
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.62904e-09,-1.84355e-08,-1.21730e-10,-4.44359e-09,4.68190e-16,-1.96526e-07,-1.55603e-06,-2.03506e-08,-5.28440e-07,4.82244e-15
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.68190e-16,1.60377e-15,-6.33062e-15,-1.62904e-09,1.62904e-09,4.82244e-15,7.11588e-15,-4.34950e-14,-1.96526e-07,1.96526e-07
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.62904e-09,1.84355e-08,1.21716e-10,4.68190e-16,4.44359e-09,1.96526e-07,1.55603e-06,2.03505e-08,4.82244e-15,5.28440e-07
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.44359e-09,5.29596e-08,3.17214e-10,1.62904e-09,1.03352e-08,5.28440e-07,4.25678e-06,5.32229e-08,1.96526e-07,1.21235e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.03352e-08,1.32113e-07,6.93339e-10,4.44359e-09,2.28593e-08,1.21235e-06,9.98699e-06,1.17397e-07,5.28440e-07,2.66468e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.28593e-08,3.16889e-07,1.42765e-09,1.03352e-08,4.86039e-08,2.66468e-06,2.25085e-05,2.45942e-07,1.21235e-06,5.69970e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.86039e-08,7.37559e-07,2.80672e-09,2.28593e-08,9.87102e-08,5.69970e-06,4.95578e-05,4.96922e-07,2.66468e-06,1.18405e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.87102e-08,1.65614e-06,5.23789e-09,4.86039e-08,1.88990e-07,1.18405e-05,1.06853e-04,9.64209e-07,5.69970e-06,2.36850e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.88990e-07,3.54525e-06,9.16138e-09,9.87102e-08,3.34154e-07,2.36850e-05,2.25615e-04,1.77564e-06,1.18405e-05,4.48753e-05
