"p^n-2_i,j","p^n-2_i-1,j","p^n-2_i+1,j","p^n-2_i,j-1","p^n-2_i,j+1","p^n-1_i,j","p^n-1_i-1,j","p^n-1_i+1,j","p^n-1_i,j-1","p^n-1_i,j+1","p^n_i,j","p^n_i-1,j","p^n_i+1,j","p^n_i,j-1","p^n_i,j+1","p^n+1_i,j","p^n+1_i-1,j","p^n+1_i+1,j","p^n+1_i,j-1","p^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.18401e-07,2.18197e-05,3.86082e-08,9.11566e-07,9.21409e-07,1.38062e-04,1.78922e-03,8.42864e-06,1.37297e-04,1.38402e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.21409e-07,2.18562e-05,3.88194e-08,9.18401e-07,9.22633e-07,1.38402e-04,1.79192e-03,8.46288e-06,1.38062e-04,1.38542e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.22633e-07,2.18702e-05,3.89103e-08,9.21409e-07,9.22960e-07,1.38542e-04,1.79302e-03,8.47751e-06,1.38402e-04,1.38580e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.22960e-07,2.18738e-05,3.89354e-08,9.22633e-07,9.22633e-07,1.38580e-04,1.79331e-03,8.48153e-06,1.38542e-04,1.38542e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.22633e-07,2.18702e-05,3.89103e-08,9.22960e-07,9.21409e-07,1.38542e-04,1.79302e-03,8.47751e-06,1.38580e-04,1.38402e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.21409e-07,2.18562e-05,3.88195e-08,9.22633e-07,9.18401e-07,1.38402e-04,1.79192e-03,8.46288e-06,1.38542e-04,1.38062e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.18401e-07,2.18197e-05,3.86082e-08,9.21409e-07,9.11566e-07,1.38062e-04,1.78922e-03,8.42864e-06,1.38402e-04,1.37297e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.11566e-07,2.17304e-05,3.81591e-08,9.18401e-07,8.96631e-07,1.37297e-04,1.78298e-03,8.35477e-06,1.38062e-04,1.35624e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.96631e-07,2.15179e-05,3.72485e-08,9.11566e-07,8.65276e-07,1.35624e-04,1.76900e-03,8.20134e-06,1.37297e-04,1.32057e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.65276e-07,2.10280e-05,3.54861e-08,8.96631e-07,8.02621e-07,1.32057e-04,1.73827e-03,7.89377e-06,1.35624e-04,1.24680e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.02621e-07,1.99407e-05,3.22601e-08,8.65276e-07,6.85286e-07,1.24680e-04,1.67204e-03,7.30322e-06,1.32057e-04,1.10039e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.85286e-07,1.76515e-05,2.67609e-08,8.02621e-07,4.84379e-07,1.10039e-04,1.53194e-03,6.23290e-06,1.24680e-04,8.27055e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.84379e-07,1.31859e-05,1.82285e-08,6.85286e-07,1.82477e-07,8.27055e-05,1.24222e-03,4.44493e-06,1.10039e-04,3.77595e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.82284e-08,4.84379e-07,6.99131e-10,6.59319e-09,2.67609e-08,4.44493e-06,8.27055e-05,2.20233e-07,1.84395e-06,6.23290e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.67609e-08,6.85286e-07,1.05241e-09,1.82284e-08,3.22600e-08,6.23290e-06,1.10039e-04,3.20190e-07,4.44493e-06,7.30322e-06
